Row Idx,Title,Candidate Idx,Candidate Title,Score
0,Justin Bieber - Love Yourself,53089,Justin Bieber - Love Yourself,0.9986623634977136
1,Justin Bieber - Sorry,54008,Justin Bieber - Sorry,0.9988789840219694
2,Drake feat. WizKid and Kyla - One Dance,51755,Drake - One Dance,0.5549300101663479
3,Rihanna feat. Drake - Work,41343,Rihanna - Work,0.7855423265634556
4,twenty one pilots - Stressed Out,39713,​twenty one pilots - Stressed Out,0.9077648605953975
5,Desiigner - Panda,50,Desiigner - Panda,0.997835755846274
6,Adele - Hello,31451,Adele - Hello,0.999650199245878
7,Chainsmokers feat. Daya - Don’t Let Me Down,24851,The Chainsmokers - Don’t Let Me Down,0.8585726849429639
8,Justin Timberlake - Can’t Stop The Feeling!,37797,Justin Timberlake - CAN’T STOP THE FEELING!,0.9974462903756125
9,Chainsmokers feat. Halsey - Closer,53790,The Chainsmokers - Closer,0.8078630320726502
10,Sia feat. Sean Paul - Cheap Thrills,99,Sia - Cheap Thrills,0.8012020211197883
11,Lukas Graham - 7 Years,40580,Lukas Graham - 7 Years,0.9982493596525898
12,Rihanna - Needed Me,34882,Rihanna - Needed Me,0.995931898586913
13,Flo Rida - My House,129,Flo Rida - My House,0.999530869080842
14,Mike Posner - I Took A Pill In Ibiza,139,Mike Posner - I Took a Pill in Ibiza,0.9979115293812728
15,Fifth Harmony feat. Ty Dolla $ign - Work From Home,147,Fifth Harmony - Work from Home,0.7676820458826266
16,Calvin Harris feat. Rihanna - This Is What You Came For,156,Calvin Harris - This Is What You Came For,0.875797301465828
17,DNCE - Cake By The Ocean,166,DNCE - Cake By the Ocean,0.9985176904681431
18,"G-Eazy x Bebe Rexha - Me, Myself and I",31580,Bebe Rexha - Self Control,0.5482595457966019
19,twenty one pilots - Ride,39717,​twenty one pilots - Ride,0.882270906428885
20,twenty one pilots - Heathens,39712,​twenty one pilots - Heathens,0.8926084645587788
21,Zayn - Pillowtalk,20957,ZAYN - PILLOWTALK,0.9988056440319553
22,Shawn Mendes - Stitches,3085,Shawn Mendes - Stitches,0.999099856971966
23,Drake - Hotline Bling,24852,Drake - Hotline Bling,0.9986683446346112
24,Major Lazer feat. Justin Bieber and MO - Cold Water,4285,Major Lazer - Cold Water,0.7606940417239241
25,Adele - Send My Love (To Your New Lover),52382,Adele - Send My Love (To Your New Lover),0.9966472647114218
