Row Idx,Title,Candidate Idx,Candidate Title,Score
0,Justin Bieber - Love Yourself,347239,Justin Bieber - Love Yourself,0.9987620512229155
1,Justin Bieber - Sorry,337701,Justin Bieber - Sorry,0.998558259936643
2,Drake feat. WizKid and Kyla - One Dance,321953,WizKid - One Dance,0.7290906887774549
3,Rihanna feat. Drake - Work,204,Rihanna - Work,0.7790491407024027
4,twenty one pilots - Stressed Out,296227,Twenty One Pilots - Stressed Out,0.9985860436059689
5,Desiigner - Panda,373,Desiigner - Panda,0.9960649471352925
6,Adele - Hello,192427,Adele - Hello,0.9993539807685147
7,Chainsmokers feat. Daya - Don’t Let Me Down,314122,The Chainsmokers - Don't Let Me Down (feat. Daya),0.8047573367543563
8,Justin Timberlake - Can’t Stop The Feeling!,231388,Justin Timberlake - CAN'T STOP THE FEELING! - Film Version,0.8120653578485796
9,Chainsmokers feat. Halsey - Closer,332940,The Chainsmokers - Closer,0.8064811724189958
10,Sia feat. Sean Paul - Cheap Thrills,711,Sean Paul - Cheap Thrills,0.8845496210767454
11,Lukas Graham - 7 Years,248121,Lukas Graham - 7 Years,0.9964019993775389
12,Rihanna - Needed Me,870,Rihanna - Needed Me,0.9882961873984133
13,Flo Rida - My House,886,Flo Rida - My House,0.9994259668709566
14,Mike Posner - I Took A Pill In Ibiza,1026,Mike Posner - I Took A Pill In Ibiza,0.9981937400162924
15,Fifth Harmony feat. Ty Dolla $ign - Work From Home,327080,Fifth Harmony - Work from Home (feat. Ty Dolla $ign),0.9166929387265751
16,Calvin Harris feat. Rihanna - This Is What You Came For,81183,Calvin Harris - This Is What You Came For,0.8755374718561076
17,DNCE - Cake By The Ocean,1225,DNCE - Cake By The Ocean,0.996993623411058
18,"G-Eazy x Bebe Rexha - Me, Myself and I",309215,"Bebe Rexha - Me, Myself & I",0.7864072188067635
19,twenty one pilots - Ride,296228,Twenty One Pilots - Ride,0.9989947095740481
20,twenty one pilots - Heathens,188564,Twenty One Pilots - Heathens,0.9989149878704359
21,Zayn - Pillowtalk,346100,ZAYN - PILLOWTALK,0.9979088269150909
22,Shawn Mendes - Stitches,20985,Shawn Mendes - Stitches,0.9981505609712397
23,Drake - Hotline Bling,1574,Drake - Hotline Bling,0.998474997991165
24,Major Lazer feat. Justin Bieber and MO - Cold Water,29246,Major Lazer - Cold Water,0.7609211098985158
25,Adele - Send My Love (To Your New Lover),348906,Adele - Send My Love (To Your New Lover),0.9973851030905496
26,Chainsmokers feat. Rozes - Roses,310995,The Chainsmokers - Roses (feat. ROZES),0.9199960829099824
27,Shawn Mendes - Treat You Better,38540,Shawn Mendes - Treat You Better,0.9984349221171941
28,Drake feat. Rihanna - Too Good,1935,Rihanna - Too Good,0.8035972310601492
29,Future feat. The Weeknd - Low Life,1949,Future - Low Life (feat. The Weeknd),0.9022450058991078
30,Justin Bieber - What Do You Mean?,337702,Justin Bieber - What Do You Mean?,0.9986045999565151
31,Weeknd - The Hills,339767,The Weeknd - The Hills,0.9860057817025172
